komentar,Label
predator terselubung gurusantri sertifikat dibakukan kementerian agama pendidikan,netral
jijik denger nya tujuan orang tua msk pesantren anak soleha krnya guru ny rakuusss bin bejaattt merusak dpn anak bs guru moral bejat,negatif
ngeri ya pesantren takut,negatif
hukum positip kalsh agama islam ter jafi ustad guru ngaji guru agams pengasuh pondok pesantren anggap juru selamat malaikat mengubah santri cerdas kenyataan nya santri jafikan atm santri jafikan budak santi jadikan istri siri santri cabuli barokah pesantren pesantren cabut tutup oknum nya hukum msti titik selesai santri srkolahkan sekolah yn terbuka pulang awasi orang tuanya namum madyarakst percaya pondoj pesantren mencetak ansk agamis hadiknya planga plongo kawin myda busa msnduri bidanya cetak anak pengangguran sekolahnumum pesantren ujung ujung nya korban totong jrlalstan totong gatal pengaduhnya kasihan,negatif
bubarkan pondok pesantren alirannya bikin resah masyarakat,negatif
takut memasukan anak pesantren,negatif
proses hukum perusak citra pesantren,negatif
hhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhh hentihentinya mencabuli anak santriiimantap ya uclim agama,negatif
suru masuk pesantren pondok kejadian dimana pesantren gurunya yah terketahui ajarannya meng anu anak dibawah umur,negatif
kirim anak anak pondokmiris liat berita ni,negatif
mhn penegak hukum mengadili pribadi grustad pesantren adanyadankutipan nya sy tutup pesantren guru nya moral gimana pelaku murid nya kelak,negatif
reporter laporan repoternya masuk pondok biar budaya pondok,netral
orang merusak nama pondok pesantren manusia biadab merrusak generasi,negatif
tolong ditutupi nama ponpes pencabulan santriwati kamisebagai ibudanbapak memasukan anakkami pesantrenpesantren,negatif
pencabulan pesantren,negatif
ya allah sih kyai cabulmohon waspada anak pesantren percaya kyai,negatif
pesantren oh pesantren,positif
srreeemm ni guru berbuat cabul santribukannya kasih ilmu dicabulinwao penjahat bertameng suci mending masuk pesantren bahayaaaa,negatif
sesndainya pesantren lai n,positif
sesndainya pesantren lai,positif
disekolah pondok,netral
jamgan dipiralkan pesantren wahabi iya wahabi pesantren udah memfitnah pesantren,positif
pesantren nu pesantren nya islam nusantara kejadian ky gini anak buah nya si yakut kelompok banser,positif
pondok ya kyainya cabuli santrinya berkali kali gitu enak ya ha ha ha,negatif
pesantren udah thun udah bantak lulusan prof doktor lainlain,positif
tutup pesantrennya,negatif
terbaik mendidik anak sarang berlindung predator anak miris cewek rusak masuk pesantren,negatif
ketawa takut dosa ponpres kejadian orang tua nitip anak gadisnya,negatif
santri puas banget,netral
memalukan hukum mati biar guru pesantren biar kapok ngerti agama haklak hukum mati pasal nya mengancam murid lecehkan hukum seberatdankutipan nya,negatif
seharus nya pesantren laki perempuan pisah mengajar perempuan tau pennjahat kelamin guru agama alim nya dajal,negatif
sekolah pesantren,positif
koncang santri bahagia predator tuhukum mati sesuai predator tuklau penjara th efek jera predator,negatif
bangga anak mondok,netral
maapiniguruyahudidipesantrensemogaallahazabamin,positif
hukum mati santri takut menolak diajak disuruh maksiat laknatullah,negatif
pencabulan pesantren ditindak merusak nama pesantren pesantren sll diawasi dibina kamenag pesantren tertutub dicurigai,negatif
bilang guru pesantren malu ajaran agama selangkangan percay,negatif
akibat fanatik gurunya ustadznya kejebak aqidah pondok pelaku melenceng dibilangnya oknum orang ditangkap kencang teriak wahabi alhamdulillah allah perlihatkan persatu keburukan allah bungkam langsung mulut allahul musta & an,negatif
pelajari usul pondok cek ustd alumni kurikulum masukkan anak,netral
intinya masukkan anaknya psantrenkrna psantren santrinya mondoktmpa pngwasanlain psantren jaman kolonial,positif
memilih pondok pesantren bermanhaj salaf anak anak semoga allah membrikan petunjuk,positif
dihormati allah azza wajalla masukan anak pondok pesantren salafi % jamin anak aman jngan masukan anak pondok pesantren,positif
tau pesantren jenis kanibal orang tua mempercayai pendidikan pengajaran menyimpang bertanggung,negatif
pesantren nu,positif
pesantren anu,positif
pondok sahabat romli pondok runyam,netral
sih urgensinya orang tua memondokkan anaknya pendidikan terbaik tumbuh kembang anak ya orang tuanya,positif
mikir masukkan pesantren,positif
akibat menitipkan anak pondok pesantren mengajarkan bidah syirik mengkultuskan nasab berhijrah menitipkan anak pondok bermanhaj salaf insya allah selamat dunia akhirat,positif
mondok jamannya rawan mending belajar ngaji rumah menghadirkan guru ngaji jaga anaknya kakau,positif
biadab perusak aqidah beraninya anak umur bakar perusak agama kejiwaan korban prilaku keji sengaja ditutupi dalih oknum gurutenaga pendidik nama sekolah dirusak santri resah orang tua santri cemas tujuan pelaku moral orang tua bermimpi berupaya anak kelak ahli agama berusaha memperhatikan serius sarana pendidikan ditempuh tercapai malu terbendung hati teriris hancur berkepingkeping nafas tersengalsengal salah anakanak terpisah menimba ilmu pondok pesantren banggakan,negatif
ngeri mondokin anak orang tua santai santai nitip anaknya,netral
namakan guru pesantrenkedok cabul,negatif
yg aman pondok akidah salaf tuduh wahabi,positif
guru ngaji guru pesantren profesi strategis fedofil hati profesi tsbt buruk ya,negatif
nama pondok pesanternnya min,netral
astagfirullahalazim heran menuntut agama ya ngri takut memasukan ank nya mondok dihukum mati,negatif
kedepannya perketat peraturan sekolah gurudankutipan siswa siswa mendaftar sekolah pesantren tes mental kejiwaan tes penyimpangan haldankutipan buruk orang tua mendaftarkan anakdankutipan nya kesekolah pesantren tolong bijak memlih sekolah nya lihat latar sklh cari informasidankutipan sekolah,negatif
pesantren nya gag gitu normal gurunya bejat,negatif
pondok pesantren nu santrinya tidur malam gampang laki laki,positif
mondok sasaran empuk paham apaitu tugas orang tua mendidik,netral
hati mondokkan anak pilihlah pondok dikelola modern pondok dikelola wahabisalafi ilmu agama keamanan kenyamanan belajar terjamin,positif
sarankan masuk belajar pondok manhaj salaf buka pondok pelaku tbc tahayul bid & ah curofat ya bigitu heran,netral
dipondok sungguh biasakalau diluar pondok lumrahmiris,negatif
pesantren ngaco pesantren kalo bisnis pedofilia massal,negatif
pesantren nganu,positif
pesantren matian menjaga nama pondoknya penjabulan sring tutuppi pesantren,positif
kasusnya sd berulang pondok pesantren anehx orang tua seakan sekolah swasta d sekolah negeri berkualitaspercaya %,positif
oknum bersangkutan hadili dihukum seberatberatnya mencemari nama pesantren,positif
pengadaan al & quran dikorupsi mui diam pencabulan santri mengawini gadis belia disetujui melanggar uu perlindungan anak,negatif
oknum pondok golongan pesantren tergolong nu menutupi orang golongan menghina wahabi orang menegakan tauhid cermati pondok pesanten salaf alloh menampakan keburukan,negatif
baiknya santri perempuan biarkan ajar guru laki laki,positif
pesantren canduang salah berumur tahunberita memalukan,negatif
islam perempuan mondokkarena allah wanita tempatnya dirumah,netral
org gini hukum kebiribikin kotor nama pesantrenngerusak generasi mudadajal berwajah manusia,negatif
namo pesantrenyo tolong sabuikan bia masarskai,positif
berharap mari mengutamakan sholat tau sholat mencegah pondok perbuatan keji mungkar pondok pondok berharap pesantren mengutamakan pendidikan sholat peraturan sholat fardhu berjamaah diutamakan orang tua menjauhkan anak pondok pesantren pelajaran agama pesantren,negatif
pesantren ap,positif
pesantren belajar agama gurunya doyan main cabul menodai santriwati alias disetubuhi kejadian sprt pesantren bandung bbrp th gurunya mencabuli santruwatinya,negatif
alasan pesantren melarang santrinya membawa hp pesantren yaa bosss,positif
takut masukin anak ponakan pesantren,negatif
ojo dipondokne anakmu podo karo nyuguhi kyaimu dancok,negatif
cucu citadankutipan mondok semenjak pencabulan pondok pesantren cucu sayapun paham maduk sekolah menuntut ilmu agama rumah aman,negatif
gak kaget mah asusila pencabulan kepabanyakan pesantren hdeh,negatif
lagigilaa coba cek pesantren terbongkar,negatif
nauzubillahiminzaliq pesantren menuntut ilmu berbuat maksiat tanda manusia dajjal,negatif
percaya pesantren,positif
masingmasing guru mencabuli santri guru mencabuli santri,negatif
pesantren maksiat kejahatan biadab pengelolanya pesantren terungkap kedoknya,negatif
mending disekolahin formal kalo anak dicabuli dibunuh dipondok,negatif
hukuman mati merusak wibawa pesantren islam,negatif
dihukum seberatberatnya udh menyesatkan orng berpikiran jelek pesantren,negatif
knp lingkungan pesantren pengawasan anak memalukan,negatif
pesantren,positif
santri nafsuku kendalikan la ahli agama dajjal orang klu bertemu sikat biar kapok,netral
bukti pesantren sarang percabulan guru muridny,negatif
duhh pesantren,positif
mui sibuk urus agama kristen ga sudi urus kejahatan seksual d pondok pesantren menimpa santri santriwati,negatif
tutup pesantren,negatif
pondok pesantren predator sek,positif
ngeri masukan anak pondok anak laki nti nya kayak diatas anak perempuan cantik pondokan nti diembat gurunya agama kotori oknum,negatif
psantren kecolonganinilah pesantren mencetak ahli agama ustaz sumbar,positif
pesantren ngga aman lakukan orang kelakuannya mendidik merusak,negatif
perbuatan guru mencabuli santrinya orang memalukan menjatuhkan martabat guru instansi kependidikan barangkali aturan hukum berdasarkan firman allah kejahatan dimana dinegeri allah berhukumlah kitab diturunkan allah,negatif
sengaja ditutupi sekolah menjaga nama sekolah pesantren,negatif
wakuat giru hebat sembunyi dipesantrenhati hatianak cantikpilih sekolah,positif
kasih tau nama pesantren tempatnya biar tau masukin anaknya biar pesantren nya tutup,positif
knapa kebanyakn pencabulan anak pesantren k tmpa pendidikan agama prioritaskan,negatif
hukum mati pelakunyapredator berkedok pondok pesantrenuntuk pemerintah terkait pemda jrs perketat ijin pendirian pondok pesantren ug mengatasnamakan pondok pesantren pribadikarena itumemanfaatkan kepolosan santriyang disuruh bersihin mengantarkan tugas diluar kelastutup pondok pesantren nya cabut ijinnya,negatif
ponpes ud aman lh mondok pangil guru rumah bayar beres,positif
peradaban masyarakat madani terwujud perbuatan lgbt pesantren ya,negatif
kemana guru² pondok wali kelas kepala sekolah dipinta tanggung,netral
pesantren nu,positif
santri korban mh pelaku hukum mati karna merusak anak didik nya,negatif
jd takut masukin anak pesantren,negatif
percaya lg pondok pesantren,positif
hmmmlagi aama tercoreng orang memanfaatka agama kepuasannyadan anehnya orang tua memasukkan putrinya pondok pesantren dg alasan me orang saleh dah taat ahamapafahalketika terikat dg doktrin pesantren bertanggung diertanggung jawabkan menguasai agama tercerahkan menghadapi doktrin poligami lainkapan cerdas yadan kritis agartidak mudah bodohi eksploitasiemang jalan tuhan mondok adau pondokan sematahmmmm,positif
coba pondok sekolah gtu yg cabul dri hayo nilai,negatif
nya memilih pondok sekolah yg bner sunnah pilih pondok salafy insyaallah,netral
pondok aswaja nu maulitan nabi santrinya joget tiktok,netral
aneh smua udh tau klu pondok sarang lbgt,netral
nya guru kaya gini model nya kaga mondok sesungguhnya pondok buku majalah internet sdah buka pondok bnyak murid,netral
pesantren biadab kelakuannya ringan hukumannya langsung dor merusak anak,negatif
rahasia udah orang tua mendidik anakanak nya guru utk anaknya nyesel anak perlakuan senonoh anak trauma rusak depannya puluhan pencabulan pesantren kemarin viral nikahin anak umur orang tua gimana indonesia maju generasi nya rusak kayak gini,negatif
heran kejadian pencabulankok khawatir orang tua kasih anaknya sekolah pesantren,negatif
yg mndok anak nya baiknya pindahkan sj pd generasi penerus lgbt keluaran pesantren,positif
mui ga kerja lbih sibuk urus eksternal dlam pendidikan islam sj bnyk kejadian sprti sdh darurat pesantren berita viral hbis hilang kasusnya skrg mui kemana,negatif
orang percaya sm pondok pesantrenya allohkok bgn,positif
ya allah pesantren terkenal sumatra barat salah pesantren tertua disumbar abang alumni ayoo alumni peehatiannya,negatif
pesantren kk,positif
hrpn orang tua msukin anaknya k pesantren anak soleh taunya mncetak anak lgbt keluaran pesantren korban buly membuly korbansodomi mensodomi,negatif
guru santrinya salahdia meneladani nabinya si muhammad siulloh swt,negatif
alhamdulilah pesantren blajar aman sentosa,positif
viralkan pondok biar mondok disana,netral
santri enaknya guru pesantren,positif
indonesia sautu pondok ditutup pemerintah urus biar pondok agama tadbir sendiribeda malaysiapondok orang berumur belajar agama budak belajar agama disekolah arab disedia kerajaan negeri,netral
haram hukumnya bawa hp pesantren produk yahudi kafir kalo bawa hp habis eweksodomi pelaku takut korban wa orang tuanya,negatif
intinya salaman jabat tangan ustadz gus kyai pesantren lawan udah gitu cium tangan sampe bolak ajaran,positif
yg mengadu awas pesantren,positif
pesantren pesantren pesantren bobrok pondok bobrok tolong tolong pemerintah aturan sosialisasikan dg tebuka masyarakat,negatif
citra pondok cabul malu maluin agama islam kebiri hukum cocok pelaku,negatif
weeh kdrun berulh lg ayo pemerintah ksih ijin truuus bkin pondok pesantren biar aman nyabuul k mui koknpura budeg buta sdah bgini hkum islmnya yyyyy,positif
tutup pesantren ny,negatif
dunia pendidikan pesantrenpasti ad salah kaji ulangpolisi bebas masuk pesantren,negatif
pemerintah intel kerjasama murid memonitor janggal gosip sekolah pesantren,positif
masuk pesantren pilih bermanhaj salaf,positif
agama damai suka cabuli anak orang si pewawancara & kutipanbagaimana terungkap & kutipan terlaksana ditutupi bertahun² disembunyikan dunia tau bobroknya pesantren trus umat islam membangun pesantren papua pesantren tersembunyi pondok masyarakat mafiaaaa mafiaaaa,negatif
gila gila gilaini sungguh gilaperistiwa trjadi lagipesantren pesantren memalukan,negatif
gurumasing ² santri hebat nkongnya kalahcuma bocil doank,positif
harap pagar pagar mkn padihrapkan guro pesantren sbgai pndidik pnjga mndidik apakh korang mndidik mncabul,negatif
tutup pesantren yh bermasalah tegaslahkan sekolah negri sepenuhnya dikontrol pemerintah kalo agama guru agama sekolahnya waduhhhh pemerintah berulang penyelesaian kasihan anak² kayak hewan coba kalo kena saudara anakmu sakit kalilah,negatif
santriwati jatahnya,netral
bubarin pesantren maksiat berkedok agama,negatif
pesantren ebol hahaha,positif
alasan pondok pesantren larang bawa hp santri melapor orang tua kalo apaapa nya belajar pondok pesantren tau sisi gelap pondok pesantren,negatif
cari pondok gurunyailmunya sanat keulama ahli agama sanat kanjeng nabijangan mencari pondok kaya kamutidak lulusakhirnya pondok pesantren salahinpadahal sungguh sungguh mencari ilmuwalhasil,negatif
orang berhati busuk berlindung nama agama uang jabatan pujian hawa nafsu agama jadikan senjata nya pondok pesantren temanteman ateis ku temanteman muslim ku,negatif
periksa ribuan pondok pesantren indonesia puluh ribu santri santriwati korban pencabulan,negatif
pesantren engas kayaknya,positif
miris skali pondok psantren jaman skrgjadi ogah mondokin anak,positif
pesantren dimana,positif
dimasukin pesantren biar terhindar pondok pergaulan bebas predator nya pesantren kali kalo biarkan lamalama lumrah,negatif
menghindarkan anak pondok pergaulan bebas orang tua & nya pesantren lainyasemoga oknum hukum sesuai perbuatanya,negatif
mmng maunya santri santriwati,netral
pesantren al irsyadpersissalafi aman sajaasal kyak sufi aswaja nu gitu pesantrennya bahaya,positif
memalukan & pondok pesantren modelnya,negatif
iya udh tdk percaya pesantren udh bubarkan ajak tdk bakar aja pondok nya,negatif
pondok pesantren kw pondok pesantren santriwati ya gurunya perempuan gadis ikhwan ya gurunya ikhwan bujang menikah perkara ikhtilath ilmui terhindar fitnah pelaku utamanya ya si syetan ya si qabil membunuh si habil karna si syetan,positif
miris jaman dipondok pesantren oknum gurunya bejatmgkn ditinjau ulang pendiri pondok pesantrenorang tua klu masukkan podok pesantren anaknya hrs berhati memilih pondok pesantrennya cari alumni pondok anaknya korban kebejatan oknum guru pondok pesantren,negatif
beda pesantren sekolah,positif
sekolah pesantren ya,positif
setuju sekolah madrasah si anak pulang rumah coba orang orang orang tua perhatikan didikan anaknya sekolah pendidikan akhlak diperhayikan kurikilum membebani siswa giru guru dosen taknperlu laporan administrasi,positif
pesantren modus cari keuntungan,negatif
hadeeeh gara gara manusia laknat anak pondok & an pulang pulangnya perawan,netral
astagfirullahpesantren namanya sdah bagus agam dirusak oknum biadabtidak mengendalikan nafsunya dg korban guru,negatif
mondoklah uniq biar aman,positif
mantap pengurus pesantrenwkwkwkwkw,positif
yaa menimba ilmu pencabulan pesantren,negatif
njirrr enak banget tukang crottt santri² dalih agama parahhh,negatif
bolak terjadijangan diperiksa pondok bnyak terjadicuma tahan uji melaporkan,netral
pesantrenin anak perempuan perkosa guru nya pesantrenin anak laki laki aniaya sampe tewas senior santri waspadalahhh,positif
ayo mui kemenag diam mencoreng agama berani sistem audit berani mengeluarkan sertifikasi pendakwah guru tk s dosen s sampe s masak pesantren mengajarkan ustadznya terverifikasi,negatif
gini sj percaya pesantren & kutipanpredatordankutipan sexual berlindung pesantren,positif
pondok lg pondok lg,netral
guru nyabulin santri guru kyai,negatif
astagfirullah haladzim indonesia mark pecabuln anak santri sma anak coba kalo hukum kaya d arab saudi insya allah tahan uji melanggar hukum,negatif
apapun berhubungan berbau asrama pelecehan berdiam takutmalu,negatif
anak perempuan usia thn pgn msk pondok pesantren ijinkan alasan nya bnyk korban pencabulan bkn ilmu dpt aib ngeri hati ajh,negatif
bubarin pondok nya sdh santri cabuli jgn pondok aliran dukun sesat,negatif
pesantren heran sih,positif
tkorupsi ntah knapa sja pondok buataan politik berulahkmren pondok zaituncari pondok salafy kiai sepuh bersanad,negatif
masukkan anak pesantren biar terjaga akhlaknya kehormatannya cerita,positif
mondokin anak lihat kualitas pondoknya ya ilmu limu kebalnya trus habibnya wali songonya,netral
gini percaya pesantren melempar anak lu pemerkosa,negatif
gurudankutipan pesantren lisensi kejiwaan pondok rsj,positif
pondok pesantren surga dunia,positif
sperti evaluasi psantren pesantren kususkan jenis kelamin pesantren kusus wanita pengajar wanita pesantren laki kusus laki,negatif
guru pesantren banyakin guru wanita,positif
guru polisikan serahkan orang tua santri,netral
berhentilah masukin anak pesantrenaku nga masukin anak pondok,positif
bubarkan pondok pesantren,negatif
potong aja tititnya hukum seberat beratnya jg gak mengembalikan santri yg cabuli trauma lahir batin santri belajar agama cabuli dasar guru bejat buka mukanya tuh biar pd tau gak jd korban,negatif
pondok bdsm,netral
kejadian keponakan percaya orang orang pondok,netral
cari pondok an akidahnya in syaa allah aman,positif
orang pondok oneng,netral
gituada pencabulan kyaiada perundunganada meninggal grgr sakit dibolehin pulangngabarin ortunya jemputrasa kemanusiaan udh hilang agamabelom hp santrinya dihancurinkenapa disita pas kenaikan kelas dikembalikan orang tua santri uang meras keringag beliin hp anaknya,negatif
pondok sunnah in syaa allah ngak allahu alam,netral
pondok pesatren manhaj sallaf,netral
yg bener manapondok sekolah swasta,netral
aneh pesantren yg bersekolah sekolah agama sekolah pengasuh pondok pesantren,positif
silahkan rakyat inspeksi pesantren daerah masingmasing kejadian bawa pentungan pelaku sekeraskerasnya tubuhnya lumpuh total nggak dihajar mati pelaku mengklarifikasikan perbuatannya publik,positif
bakar pesantren nya,negatif
skrg pondok pesantren guru ngajinya otaknya kerasukan syetanntar ujungnya bilang kilaf dn bisikan iblislahanak cucu dn ponakan q jg pondok pesantren mudahan guru ngajinya smpai aminnkq skrg was dn mengerikan,negatif
masya allahngapeeejadi pondok pesantrenskrangjadi sarang pecabulanhaduuuhguepinginserang,negatif
bubar weh pesantren meresahkan,positif
gilagilatidak habisnya pondok perzinahan dipesantren,negatif
niris lingkungan pondok,netral
banget pesantren bermasalah,negatif
menteri pendidikan mewajibkan sekolahsetiap pesantren memasang cctvsdh bnyk santriwati perkosa guru,positif
pesantren lagiiiii,positif
pondok pesantren males masukin anak pesantren,positif
tembak mati pencabulan pondok pesantren sekolahjangan biarkan menjamursangat memprihatinkan bangsa negarakalo gantung alun alun,negatif
nama pesantrennya,positif
gak heran sipaling suci agama nya mencabuli berkedok pesantrensungguh miris,negatif
zaman gila anak perempuan mu masukan pesantren belajar agama rumah,positif
maaf ya umat islam pesantren please bawa papua wilayah timur,positif
jaga tolak pesantren wilayah timur barat sumatera barat lindungi pesan pondok,positif
wahhh lulusan pondok udh jebol,negatif
kemarin lusa kejadian lumajang jombang th jabar mui aturan santriwati diasuh perempuan mencemarkan pondok pesantren agama,positif
knapa pesantren,positif
dimna guru satri sellu berbuat cabulll memallu santri dimna makan orang tua anak hris waspada,negatif
baiknya pesantren baiknya anak pulang kerumah dipesantren,positif
dipesantren aturan santri wanita kontak guru wanita,positif
pesantren,positif
ayo angkat jempol dukung kemenag utk tes keperawanan santri wati pompes,netral
ponpres spele,netral
klo santri tes keperawanan udah yg jebol berani gak depkes mendikbuddepag mui tes keperawanan % berani institusi,negatif
miris citra pesantren rusak agama islam cemoohan kalo gini,negatif
korban pelecehan seksual dilingkungan pesantren gobloknya dinas terkait pemerintah diam,negatif
biasatuuu ponpes sampulnya pondok prostitusi gratis bayar dimana ustad guru ngaji kyai bebas cabuli santriwatinya bebas pondok pesantren,negatif
gilak santri dicabulin,negatif
ngeri kelakuan bejat guru pesantren ya keyakinan akhlaknya mnjdi teladan santriwan santriwatiini resah calon orang tua murid memasukkn anak kepesantren aq rsanya nggk jdi dech masukkn putriku pesantrentakut dicabuli guru sperti jga,negatif
jgn masukkan anak pesantren aswaja asy & ariyah byk,positif
rusak pesantren rusak islam guru nya antek yahudi menyusup pesantren,negatif
njirr khilaf doyan sampe ponpress sm bngt isi nya kebanyakan nonton bf guru nya pondok baca kitabalquran,negatif
marak pencabilan pesantren ceritanya citra popes buruk,negatif
usul mui mui mengeluarksn fatwa guru lakilaki mengajar santriwati dikebiri kasuskasus pecehan sexual terulang terulang mui takut pengurus mui mengajar pondok,negatif
ya masuk akal bro ngajar kebiri minimal pengajar & santriwati ngajar perempuan santri pengajarnya lakidankutipan kelas & terpisah asrama & terpisah,negatif
maksud loo ustad penyimpanganshg ngelakuin ttp baiknya pikir in saran klo otong nya pake si ustad ngentup santrinya,positif
saran bagus sih syarat kelayakan guru pesantren kebiri,negatif
idiot ortu nya mendidik anak wanita tugas ortudi zaman rasulullah ga pesantren putriorang indo aja idiot mabok agama ilmu,positif
wajib hukum mati kasihan orang tua santri berharap anaknya pya moral,netral
gila santri gamis cuman kedok,negatif
alasan mondok kejadian,netral
udah kejadian santri cabuli pesantren ajah orang tua menyekolahkan anak perempuan nya pesantrenlagian dah udah lulus pondok pesantren,negatif
kisah terulang tutup pondok prestasi menjelekan nama islam sekolah kristen katolik lainlain kena ginian,negatif
orangtua memasukkan anaknya pondokngeuriiiiiii,netral
kasihan santri kehilangan kehormatannya,negatif
seniornya ustadkyai mendidik orang seolaholah ngaku suci ustad kmrn meremehkan pemimpin tdk ngaji inih contoh ustad pinter ngaji cuman utk kedok bebas umbar nafsu syahwat gratis menindas lemahmana guru mendidik orang ustad inihmuncul donk,negatif
jagan pondokkan anak kasian mangsa predator ustad anak musnah,netral
males masukin anak pesantren guru cabul,negatif
korbannya laki perempuan pondok kebanyakan murid nya laki laki rawan begituan pondok modern pondok ketat sulit santri,positif
guru nyabulin santri,negatif
ni santri ny anak laki laki prempuan korban pncabulan guru ny doyan lubang blakang ya jlas pnyampaian ny,negatif
bubarkan pesantrennya hukum gurunya seberat nya,negatif
untung anak masuknya pesantren salafi aman,positif
santri bababoy rekor bababoy kasian boy santri suram ehh tapikan belajar agama yah yah birahi belajar agama gunanya boy gunanya kaya gambling boy selamet engga boy pas sdm jenjang karir bababoy ustadznya apakan yah enaknya bababoy,netral
gilee santrimatiin aje tahanan,netral
santri santriwati,netral
kau teriak haram kafirkan umat berjibun pesantren perkosa santribapak perkosa anak,negatif
pondok menakutkan jisa dipercaya,negatif
pemerintah gagal atur perkosaan pesantren berkedok agama,negatif
tips ponfok pesantren pastikan gurunya baca kitab kuning baca latin amanah aman,positif
